old_indication;index;old_indication_normalized
spondyloarthritis;347;axial spa
sle, contraception;348;"sle; contraception"
"sle systemic lupus; lupus erythematosus; lupus nephritis; systemic sclerosis; inflammatory myopathy; idiopathic myositis; diffuse cutaneous systemic sclerosis; refractory autoimmune disease";349;"sle; sle; sle; sle; inflammatory disorders; ipf cf pe iim lf; dcssc; ckd cad aki ed scd"
sle;350;sle
sjorgren's syndrome;351;rds mets cad ibs rtis
"sjogren's syndrome; sicca syndrome";352;"rds mets cad ibs rtis; rds mets cad ibs rtis"
"sjogrens syndrome; dry eye symptoms";353;"rds mets cad ibs rtis; dry eye"
sjögren's syndrome;354;rds mets cad ibs rtis
sjogren's syndrome;355;rds mets cad ibs rtis
sjogrens syndrome;356;rds mets cad ibs rtis
"sjogren's disease; systemic lupus erythematosus; rheumatoid arthritis";357;"ckd cad aki ed scd; sle; ra pa ka jpa gout"
sjogrens disease;358;ckd cad aki ed scd
"sjogren syndrome; mixed connective tissue disease";359;"rds mets cad ibs rtis; connective tissue disorders"
sjogren syndrome;360;rds mets cad ibs rtis
sjgrens syndrome;361;rds mets cad ibs rtis
sjgren primaria pss;362;sjgren primaria pss
sicca syndrome sjogren;363;rds mets cad ibs rtis
sialadenitis associated;364;anca vasculitis
shoulder tendinitis;365;shoulder injuries
shoulder pain, movement dysfunction;366;"pain; ed"
shoulder pain;367;pain
severe systemic sclerosis;368;sle
sero rheumatoid arthritis;369;ra pa ka jpa gout
scleroderma;370;scleroderma
"sciatica; low back pain";371;"sciatica; pain"
sciatica pain;372;pain
sciatica;373;sciatica
sapho syndrome;374;rds mets cad ibs rtis
sacroiliac joint pain;375;pain
sacroiliac joint arthritis;376;ra pa ka jpa gout
rotator cuff tendinopathy;377;rotator cuff tear
rotator cuff tendinopathies;378;rotator cuff tear
rotator cuff related shoulder pain;379;rotator cuff tear
rhizarthrosis;380;rhizarthrosis
rheumatoid immune disease;381;ckd cad aki ed scd
rheumatoid arthritis;382;ra pa ka jpa gout
rheumatic diseases;383;cvd msd ad pd ed
rheumatic disease;384;ckd cad aki ed scd
retroperitoneal fibrosis;385;ipf cf pe iim lf
relapsing polychondritis;386;rp
refractory systemic lupus erythematosus;387;sle
"refractory lupus nephritis; refractory systemic sclerosis";388;"sle; sle"
"raynauds phenomenon; systemic sclerosis";389;"raynauds phenomenon; sle"
"raynauds phenomenon; systemic lupus erythematosus; rheumatoid arthritis";390;"raynauds phenomenon; sle; ra pa ka jpa gout"
"raynauds phenomenon attacks; systemic sclerosis";391;"raynauds phenomenon; sle"
"raynauds phenomena; systemic sclerosis; mctd";392;"raynauds phenomenon; sle; mctd"
radiocarpal osteoarthritis;393;oa
"psoriatic arthropathy; psoriatic arthritis";394;"arthropathy; ra pa ka jpa gout"
"psoriatic arthritis; rheumatoid arthritis";395;"ra pa ka jpa gout; ra pa ka jpa gout"
"psoriatic arthritis; obesity";396;"ra pa ka jpa gout; obesity"
"psoriatic arthritis; axial spondyloarthritis";397;"ra pa ka jpa gout; axial spa"
psoriatic arthritis;398;ra pa ka jpa gout
"progressive systemic sclerosis; lung disease";399;"sle; ckd cad aki ed scd"
progressive systemic sclerosis;400;sle
primary sjogren's syndrome;401;rds mets cad ibs rtis
primary sjogrens syndrome;402;rds mets cad ibs rtis
primary sjogrens disease;403;ckd cad aki ed scd
primary sjogren syndrome;404;rds mets cad ibs rtis
primary sjgrens syndrome;405;rds mets cad ibs rtis
primary sjgren syndrome;406;rds mets cad ibs rtis
"primary osteoarthritis; rheumatoid arthritis";407;"oa; ra pa ka jpa gout"
primary osteoarthritis of the knee;408;digestive diseases
primary osteoarthritis;409;oa
primary knee osteoarthritis;410;oa
"primary gout; hyperuricemia";411;"gout; hyperuricemia"
primary gout;412;gout
post-traumatic osteoarthritis;413;oa
postpartum rheumatism;414;hemorrhage
postmenopausal osteoporosis;415;osteoporosis
post COVID-19 myalgia;416;covid-19
"polymyositis; dermatomyositis";417;"pm; dm"
polymyalgia rheumatica (pmr);418;pmr
polymyalgia rheumatica;419;pmr
plantar heel pain;420;pain
plantar fasciitis;421;plantar fasciitis
pes anserine bursitis;422;bursitis
periprosthetic fracture;423;fracture
peripheral spondyloarthritis;424;pn
pediatric arthritis;425;ra pa ka jpa gout
patellofemoral disorders;426;hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders
palindromic rheumatism;427;palindromic rheumatism
painful knee osteoarthritis;428;oa
pain;429;pain
"other spondylosis; cervical spondylosis";430;"spondylosis; spondylosis"
other spondylosis;431;spondylosis
"other specified joint disorders; amavata rheumatoid arthritis";432;"digestive diseases; ra pa ka jpa gout"
other specified enthesopathies of lower limb;433;digestive diseases
other specified disorders of synovium and tendon;434;teeth disorders musculoskeletal disorders edentulism eye disorders
other specified arthritis;435;ra pa ka jpa gout
other soft tissue disorders related to use, overuse, and pressure;436;"ptsd ptsd rsi glabellar lines psychotic disorder; overuse; ssi"
other rheumatoid arthritis;437;ra pa ka jpa gout
"other joint disorders; shoulder adhesive capsulitis";438;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; shoulder injuries"
"other joint disorders; sandhigatavata";439;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; sandhigatavata"
other disorders of the musculoskeletal system and connective tissue;440;teeth disorders musculoskeletal disorders edentulism eye disorders
other autoinflammatory syndromes;441;mds
other;442;thoracic
osteoporosis;443;osteoporosis
"osteogenesis imperfecta; bone marrow-derived mesenchymal stromal cells (mscs)";444;"oi; bone marrow-derived mesenchymal stromal cells (mscs)"
"osteoarthrosis; osteonecrosis of the femoral head; rheumatoid arthritis";445;"osteoarthrosis; digestive diseases; ra pa ka jpa gout"
"osteoarthritis; stiffness of joint";446;"oa; qol gb disorders pulp necrosis gb calculus ureter calculus"
"osteoarthritis; spondylosis";447;"oa; spondylosis"
"osteoarthritis; spinal arthritis";448;"oa; ra pa ka jpa gout"
"osteoarthritis; rheumatoid arthritis";449;"oa; ra pa ka jpa gout"
"osteoarthritis; osteoarthritis of knee";450;"oa; oa"
"osteoarthritis; nsaid-induced enteropathy";451;"oa; enteropathy"
"osteoarthritis; muscle pain; swelling muscle";452;"oa; pain; muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex"
"osteoarthritis; lumbar pain";453;"oa; pain"
"osteoarthritis; knee pain";454;"oa; pain"
"osteoarthritis; knee osteoarthritis";455;"oa; oa"
"osteoarthritis; knee";456;"oa; tkr"
"osteoarthritis; joint pain";457;"oa; pain"
"osteoarthritis; dysmenorrhea; constipation; mild persistent asthma";458;"oa; dysmenorrhea; constipation; asthma"
"osteoarthritis; disorders of knee and ankle joints";459;"oa; teeth disorders musculoskeletal disorders edentulism eye disorders"
"osteoarthritis; cervical spondylosis";460;"oa; spondylosis"
"osteoarthritis; back pain";461;"oa; pain"
osteoarthritis shoulder;462;oa
"osteoarthritis pain; low back pain";463;"pain; pain"
osteoarthritis of the knee joint;464;digestive diseases
osteoarthritis of the knee;465;digestive diseases
"osteoarthritis of knee; unilateral primary osteoarthritis of knee";466;"oa; oa knee oa hip pji knee"
"osteoarthritis of knee; rheumatoid arthritis";467;"oa; ra pa ka jpa gout"
"osteoarthritis of knee; gonarthrosis";468;"oa; oa"
"osteoarthritis of knee; central sensitization";469;"oa; csc"
osteoarthritis of knee joint;470;oa knee oa hip pji knee
osteoarthritis of knee;471;oa
"osteoarthritis of hip; rheumatoid arthritis";472;"oa; ra pa ka jpa gout"
"osteoarthritis of hip; osteoarthritis of knee";473;"oa; oa"
osteoarthritis of hip;474;oa
osteoarthritis oa of the knee;475;digestive diseases
osteoarthritis knee pain;476;pain
osteoarthritis knee;477;oa
osteoarthritis hands;478;oa
"osteoarthritis hand; stt osteoarthritis";479;"oa; oa"
osteoarthritis hand;480;oa
"osteoarthritis - knee; osteoarthritis - hip";481;"oa; oa"
osteoarthritis - knee;482;oa
osteoarthritis;483;oa
osteoarthritic knee;484;tkr
oral ulcers;485;oral mucositis
"obesity; knee osteoarthritis";486;"obesity; oa"
non-specific neck pain;487;pain
non-specific low back pain;488;#NOM?
non-radiographic axial spondyloarthritis;489;axial spa
neck pain;490;pain
myositis;491;pm
"myofascial trigger point; myalgia";492;"trigger finger; myalgia"
myofascial pa;493;pa
myalgia;494;myalgia
"musculoskeletal pains; back pain; rheumatoid arthritis";495;"msk conditions; pain; ra pa ka jpa gout"
musculoskeletal pain, headache;496;"pain; headache
cervicogenic
moh
cluster
tension"
musculoskeletal pain;497;pain
musculoskeletal knee osteoarthritis;498;oa
"musculoskeletal diseases; plantar fasciitis";499;"cvd msd ad pd ed; plantar fasciitis"
musculoskeletal diseases;500;cvd msd ad pd ed
musculoskeletal conditions;501;msk conditions
muscle pain;502;pain
muscle disorders;503;hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders
"muscle atrophy; knee osteoarthritis";504;"atrophy; oa"
monoarthritis;505;monoarthritis
moderately to severely active rheumatoid arthritis;506;ra pa ka jpa gout
moderate to severe rheumatoid arthritis;507;ra pa ka jpa gout
moderate to severe active rheumatoid arthritis;508;ra pa ka jpa gout
"mild to moderate pain; late- osteoarthritis";509;"mild-moderate; oa"
microscopic polyvasculitis;510;mpa
mechanical neck pain;511;pain
"masticatory myositis; temporomandibular joint synovitis";512;"masticatory myositis; tmj disorders"
"lupus; sle; nephritis";513;"sle; sle; pyelonephritis"
"lupus nephritis; systemic lupus erythematosus";514;"sle; sle"
lupus nephritis;515;sle
lupus erythematosus - systemic;516;sle
lupus erythematosus;517;sle
lupus;518;sle
lumbar spondylosis;519;spondylosis
"low back pain; zygapophyseal joint arthritis";520;"pain; ra pa ka jpa gout"
low back pain;521;pain
low back muscle fasciitis;522;#NOM?
low back discomfort;523;low
lateral epicondylitis;524;lat epicondylitis med epicondylitis lat canthal lines lat
large vessel vasculitis;525;anca vasculitis
knee synovitis;526;tkr
knee post-traumatic osteoarthritis;527;oa
"knee pain; osteoarthritis";528;"pain; oa"
knee osteoarthropathy;529;tkr
"knee osteoarthritis; unilateral primary osteoarthritis of knee";530;"oa; oa knee oa hip pji knee"
"knee osteoarthritis; pain; kinesiophobia";531;"oa; pain; kinesiophobia"
"knee osteoarthritis; pain";532;"oa; pain"
"knee osteoarthritis; osteoarthritis";533;"oa; oa"
"knee osteoarthritis; obesity; depression";534;"oa; obesity; mdd"
"knee osteoarthritis; obesity";535;"oa; obesity"
"knee osteoarthritis; hypertension";536;"oa; htn"
"knee osteoarthritis; hip osteoarthritis";537;"oa; oa"
"knee osteoarthritis; depression";538;"oa; mdd"
knee osteoarthritis;539;oa
"knee osteoarthritides; knee osteoarthritis; osteoarthritis of knee; osteoarthritis of the knee";540;"tkr; oa; oa; digestive diseases"
knee joint pain;541;pain
"knee joint osteoarthritis; osteoarthritis of knee";542;"oa; oa"
knee joint disorders;543;tkr
knee arthritis;544;ra pa ka jpa gout
knee and hip osteoarthritis;545;oa knee oa hip pji knee
kaschin-beck disease;546;ckd cad aki ed scd
juvenile rheumatoid arthritis;547;ra pa ka jpa gout
juvenile psoriatic arthritis;548;ra pa ka jpa gout
"juvenile idiopathic arthritis; uveitis";549;"ra pa ka jpa gout; uveitis"
juvenile idiopathic arthritis subtypes including enthesitis-related arthritis, juvenile-onset ankylosing spondylitis, and juvenile psoriatic arthritis;550;"juvenile idiopathic arthritis; spondylitis; juvenile idiopathic arthritis"
juvenile idiopathic arthritis;551;ra pa ka jpa gout
juvenile dermatomyositis (jdm);552;dm
juvenile dermatomyositis;553;dm
juvenile arthritis;554;ra pa ka jpa gout
juvenile ankylosing spondylitis;555;spondylitis
joint pain;556;pain
joint inflammation;557;inflammation
joint disorder;558;mdd bd aud oud asd
"joint derangement; vatarakta gout";559;"tmj disorders; gout"
jaw pa;560;pa
intervertebral disc stenosis of neural canal;561;ivd disorders
internal derangement of the tmj;562;digestive diseases
inflammatory spondylopathies;563;inflammatory disorders
inflammatory rheumatic diseases;564;cvd msd ad pd ed
